figure,class,producing_script,inputs,approved_original_sha256,deployed_embed_sha256,reproduced_output,reproduced_output_sha256,reproduction_result
Figure 11,publication figure,scripts/figures/fig11/make_q1_power_law_2x2_panel.py (+ common/power_law_largest_{daily;event}_ellipse.py + common/task6_powerlaw.py),deposit catalogs/ master; seed 20260617; nboot 5000 (canonical),10ea2036ff068ae49e9ae7c4e794abfaa98a98272ff224cd5852e2bb61956726,9ada5400232aa424b109fe32f0d22b7fa09ec632be42bda7f8bfa44063c37fd4,reproduced/fig11/q1_power_law_2x2_panel_clean.png,10ea2036ff068ae49e9ae7c4e794abfaa98a98272ff224cd5852e2bb61956726,EXECUTED - BYTE-IDENTICAL to the approved canonical asset (alpha=10.519 p=0.1344 n=395; alpha=5.341 p=0.3592 n=51); the deployed DOCX embed is a downscaled export
Figure 12,publication figure (V3 LABEL CORRECTION; DEPLOYED 2026-07-30),scripts/figures/fig12/make_q1_variant3_four_variable_centroid_map.py,deposit catalogs/grid_predicted_intensity_variant3.csv + catalogs/ master,e75b07debf67e163e2eff3506ec4fe6628f0c01a1dfdd6f7dbc2d2523eccab33,ce09ab2fa492c5b1321031d07aadf6bcfe819d21159c3c269e380335d596801b,reproduced/fig12/q1_four_variable_centroid_risk_map.png,ce09ab2fa492c5b1321031d07aadf6bcfe819d21159c3c269e380335d596801b,"EXECUTED - BYTE-IDENTICAL to the deployed manuscript embed. The corrected marker legend was DEPLOYED into the WORKING manuscript on 2026-07-30 (G2 pass, Fawaz-approved) with the matching caption marker definitions. Superseded pre-correction embed: e75b07debf67e163e2eff3506ec4fe6628f0c01a1dfdd6f7dbc2d2523eccab33 (see the V11 candidate for the exact prior value). Plotted data unchanged. Artwork 4219x2904 px."
Figure A,publication figure,scripts/figures/figA1/make_figA1_sigma_sensitivity.py,scripts/figures/figA1_inputs/pca_sigma_matrix_*.csv (shipped),084d0b7e5bb5108ce166071f78aa8ea6b3e129df23e775c4a5a6f54522848627,ca9c49e703aa28fe20dd5a463e57beea5c4adc62e5dd3b0086c05660325acb74,reproduced/appendix/Figure_A1_pca_sigma_sensitivity.png,084d0b7e5bb5108ce166071f78aa8ea6b3e129df23e775c4a5a6f54522848627,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the deployed DOCX embed is a downscaled export
Figure B,publication figure,"scripts/figures/figA2/make_new_figA2_event10_candidate.py (CANONICAL producer of the deployed Fig. B - legacy internal name figA2: Event 10, Type 4, 2001-08-07..12)",data/auxiliary/method_a/daily_full_parameter_grid_method_A.csv + deposit catalogs/,916fed8eafbd535028fd1c1f04f611db58c9b78f9a1d7ee0cdc95567ed1b3fd5,916fed8eafbd535028fd1c1f04f611db58c9b78f9a1d7ee0cdc95567ed1b3fd5,reproduced/appendix_a2/New_Figure_A2_Event10_candidate.png,916fed8eafbd535028fd1c1f04f611db58c9b78f9a1d7ee0cdc95567ed1b3fd5,"EXECUTED - BYTE-IDENTICAL to the deployed manuscript embed (word/media/image14.png), verified directly from the WORKING DOCX"
Figure C,publication figure,scripts/figures/figA3/make_figA3_dbscan_params.py,deposit catalogs/ master,f2c064d7577ea9f33c3f3e8396cf61f5e8ce223f49cbbb0e35775a63f1f36f31,07872152bae8bd2b215bddc8e3db23df4c052824f7ee329eefa64c55eda274e4,reproduced/appendix/Figure_A3_dbscan_parameters.png,f2c064d7577ea9f33c3f3e8396cf61f5e8ce223f49cbbb0e35775a63f1f36f31,EXECUTED - BYTE-IDENTICAL to the approved canonical asset; the deployed DOCX embed is a downscaled export
Figure S.1,publication figure (supplementary),scripts/figures/figS1/make_new_figS1_candidate.py (composite: panels a-b from make_figS1_type3_event25.py; panels c-d REGENERATED in the v1.0.0 pre-release correction by make_figS1_station_panels.py + make_figS1_station_strip.py from the deposited GHCNd and ERA5 series),"reproduced Figure_S1_type3_event25.png + deposit validation_station/{ghcnd_aswan_EG000062414.csv, era5_aswan_cell_2016.csv}",050a0721509656d7337102fe451a400b2bed35ee967965e19ad444b54675f538,d125a87d0f3a875a737a9175c43f133f9d353adf95bc307e4c3885731d38e634,reproduced/supplement/New_Figure_S1_candidate.png,d125a87d0f3a875a737a9175c43f133f9d353adf95bc307e4c3885731d38e634,"EXECUTED - FULLY REGENERATED FROM DEPOSITED DATA in the v1.0.0 pre-release correction. Panels (c)/(d) previously came from the now-SUPERSEDED frozen legacy donor artwork (only that historical fallback drawing has no runnable producer), which made this figure a HYBRID COMPOSITE; that claim no longer applies. The recovered station producer was sanitized of absolute paths and its interactive backend; its merged daily series is BIT-IDENTICAL to the deposit's own validation_station/merged_station_validation.csv (max |diff| 0.0 over 9 overlapping days) and it reproduces the approved statistics r = 0.98, RMSE = 1.70 C, bias = -1.60 C, warm-season P95 45.00 C (GHCNd) / 44.32 C (ERA5), 2 exceedance days each. Artwork 7440x6559 px. Supersedes the hybrid composite a5632323514961c61a1b367c1cc2c950c93e1beac48cf7f134826e1367664bdc."
Figure D,publication figure (APPENDIX D; relocated from Supplementary Fig. S.2 on 2026-07-30),scripts/figures/figS2/make_new_figS2_candidate.py (occurrence-level five-fold validation composite: panel (a) concentration-zone distance boxplot + panels (b)-(f) held-out fold maps; engine scripts/validation/kfold_cv_four_variable_centroid_model.py seed 20260704 N_FOLDS=5),deposit lgcp/ + validation_kfold/,d3de47b80b61589f54e615d9757023457f6bc9aac7e604df380d73dc0474d5e8,88f9e177cf396d0d20325dbcea07c31b5838b49306b7847425d5231a2f993e72,reproduced/supplement/New_Figure_S2_candidate.png,88f9e177cf396d0d20325dbcea07c31b5838b49306b7847425d5231a2f993e72,"EXECUTED - BYTE-IDENTICAL to the deployed manuscript embed. On 2026-07-30 (G2 pass, Fawaz-approved) this figure was REARRANGED to a 2-column x 3-row layout - panel (a) the concentration-zone distance boxplot, panels (b)-(f) held-out Folds 1-5, shared vertical colorbar spanning all three rows, centred marker legend - and RELOCATED from the supplementary document into the main manuscript as Fig. D in Appendix D. Artwork 6050x6019 px. Layout and labelling only: dataset, seed 20260704, fold membership (152 held-out centroids per fold), refit surfaces, ranks, colours, ticks, markers and the zone means the zone-mean assertions are unchanged in FORM; the means themselves moved with the corrected centroids to 389.670139/231.807728/151.672110/69.064508 km (superseded unweighted: 437.85/285.66/180.81/81.48, quoted earlier as 438/286/181/81) and are asserted at run time. Superseded supplementary embed: d3de47b80b61589f54e615d9757023457f6bc9aac7e604df380d73dc0474d5e8. LEGACY NAMING: the producing script, its output filename and the deposit's figS03/ figS04/ directories keep 'S2'/'S3'/'S4' tokens for provenance; those are internal names, NOT current publication labels."
Fig. D component (INTERNAL - not a manuscript figure; legacy S.2 naming),internal component producer,scripts/figures/figS3/make_figS3_risk_zone_distance.py (legacy path/filename retained for provenance),deposit validation_kfold/per_centroid_risk_zone_validation.csv,1696b0ab2f4d64718ab8c2b87a3407c386a9f03654cd85cddb7679ed3729f9ea,,reproduced/supplement/Figure_S3_risk_zone_distance.png,cc1f0e3e9cc6435b2541435ef4cd10f6249dfad0e935be773cf956d93892ae1b,"EXECUTED - INTERNAL COMPONENT ONLY; its content appears as panel (a) of the manuscript Fig. D. Not a manuscript figure and never deployed, so there is no deployed embed hash. The V3 output differs from the V2 asset by the corrected axis label ('top-concentration zone')."
Fig. D component (INTERNAL - not a manuscript figure; legacy S.2 naming),internal component producer,scripts/figures/figS4/make_figS4_kfold_maps.py (legacy path/filename retained for provenance),deposit lgcp/ + validation_kfold/ (CV refit seed 20260704),f263dd4a0b9b196334dbba0debe1c7da6b6893e7fd415451c38393c5981d97db,,reproduced/supplement/Figure_S4_kfold_heldout_maps.png,1f0742faa19e06a19756bd896a8bba4b373f2dceb4ab75adefed794f9b41a58d,"EXECUTED - INTERNAL COMPONENT ONLY; its content appears as panels (b)-(f) of the manuscript Fig. D. Not a manuscript figure and never deployed, so there is no deployed embed hash. V4 corrects the colorbar label to 'Relative centroid-concentration rank, R(s)': the mapped values are per-fold percentile ranks (0-1), not a physical concentration or intensity, so the former physical-units label was wrong. Plotted data unchanged; the fold-metrics CSV is byte-identical to the deposit. The manuscript Fig. D composite is unaffected (its producer already used the rank wording)."
Fig. B diagnostic (INTERNAL - SUPERSEDED; legacy A.2 naming),superseded internal diagnostic,"scripts/figures/figA2/make_figA2_dbscan_selection_heatmaps.py (Event 7, Type 4, 2000-07-07..09)",scripts/figures/figA2_inputs/ (shipped Event-7 matrices) + deposit catalogs/ master,505fa0fe2c9378358c8bdec4c10b9ad101143770eb6420455aa759e2e999bb23,,n/a,,"NOT EXECUTED - superseded by the Event-10 canonical Fig. B (legacy internal name A.2) and excluded from every reproduction tier. NO reproduced output is shipped or claimed. The approved_original_sha256 above is the hash of this diagnostic's own historical asset in the research archive, retained for provenance only. This corrects the V2 row, which claimed an EXECUTED byte-identical output that is absent from reproduced/."
