manuscript_section,claim_or_result,figure_table,input_dataset,config,producing_script,output_file,canonical_expected,reproduced_value,tolerance,status,checksum
Sec 3,power law event-level alpha 5.34 p 0.359 (n=51),Fig 11 bottom row,deposit catalogs/ master,seed 20260617 nboot 5000,scripts/figures/fig11/make_q1_power_law_2x2_panel.py,reproduced/fig11/q1_power_law_2x2_panel_clean.png,alpha 5.34 p 0.359 n 51,alpha=5.341 p=0.3592 n=51 n_tail=19 (printed),exact (2-3 dp as published),EXECUTED-PASS,
Sec 4,Figure 12 four-variable centroid-concentration quantile map (V3 LABEL CORRECTION; legacy risk-map filename retained),Fig 12,deposit catalogs/grid_predicted_intensity_variant3.csv + master,variant3 model,scripts/figures/fig12/make_q1_variant3_four_variable_centroid_map.py,reproduced/fig12/q1_four_variable_centroid_risk_map.png,deployed manuscript embed (6a1a5a76...),"BYTE-IDENTICAL to the deployed manuscript embed. V3 replaced the marker-legend wording with 'Daily-largest structure centroid' / 'Event-largest structure centroid'; plotted data and quantile ranks unchanged. DEPLOYED into the WORKING manuscript on 2026-07-30 (G2 pass, Fawaz-approved). Superseded pre-correction embed: e75b07debf67e163e2eff3506ec4fe6628f0c01a1dfdd6f7dbc2d2523eccab33",byte,EXECUTED-PASS,reproduced 6a1a5a767c8c63262633914c484b973acc46696e23e661f8cbc58955cd38d2ac; deployed WORKING embed 6a1a5a767c8c63262633914c484b973acc46696e23e661f8cbc58955cd38d2ac
Sec 4 (LGCP),variant3 LGCP sigma2 = 1.647219 scale = 287.708 km,text (model params),deposit lgcp/lgcp_model_parameters.csv,kppm mincon/K/exponential; LAEA km window,scripts/lgcp/spatial_risk_lgcp_model_diagnostics.R (R fit EXECUTED against the deposit lgcp/ inputs),reproduced/lgcp_fit/tables/lgcp_model_parameters.csv,sigma2 1.647219; scale 287.707960,refit parameter table IDENTICAL to the deposit for all 30 rows (variant3 intercept -11.352611 lon -0.016062 lat 0.063142 mean_tmax_z 0.464404 std_tmax_z -0.007187 sigma2 1.647219 scale 287.707960); ALL QC CHECKS PASS with 0 fit warnings,exact,EXECUTED-PASS,
Sec 4 (LGCP),variant3 prediction surface extraction (1800 grid cells),Fig 12 input,deposit lgcp/grid_predicted_intensity_all_variants.csv,n/a,scripts/lgcp/extract_variant3.py,reproduced/lgcp/grid_predicted_intensity_variant3.csv,exact equality vs frozen variant3 CSV,max_abs_diff = 0.0 EQUAL=True (1800 rows),exact,EXECUTED-PASS,
Sec 4 (validation),5-fold CV mean held-out centroid distance 84.935 km,text; Fig D panels (b)-(f) context,deposit lgcp/,seed 20260704; 5 folds x 152; Poisson GLM offset log(area),scripts/validation/kfold_cv_four_variable_centroid_model.py,reproduced/validation_kfold/cv_summary.csv,84.935 km,mean_dist_error_km = 84.934649; cv_summary.csv BYTE-IDENTICAL to deposit,exact,EXECUTED-PASS,
Sec 4 (validation),concentration-zone distances (legacy risk-zone naming) top10/20/30/50% = 437.85/285.66/180.81/81.48 km,text; Fig D panel (a),deposit lgcp/ + catalogs/ master,same CV design,scripts/validation/kfold_cv_risk_zone_validation.py,reproduced/validation_kfold/per_centroid_risk_zone_validation.csv,437.85/285.66/180.81/81.48,437.854964/285.656041/180.807535/81.475518; all five CV CSVs BYTE-IDENTICAL to deposit,exact,EXECUTED-PASS,
Supplement,GHCN-ERA5 Aswan validation r 0.98 RMSE 1.70 bias -1.60,Fig S.1 panels c-d metrics,deposit validation_station/,station EG000062414; window 2016-05-31..06-12,scripts/validation/ghcn_era5_validation.py,reproduced/supplement/station_validation_metrics.csv,r 0.98; RMSE 1.70 C; bias -1.60 C,r=0.9802 RMSE=1.696 bias=-1.5952 n=9,exact at published rounding,EXECUTED-PASS,
Appendix,Figure A sigma sensitivity matrices,Fig A,scripts/figures/figA1_inputs/*.csv (shipped frozen matrices),sigma grid per matrices,scripts/figures/figA1/make_figA1_sigma_sensitivity.py,reproduced/appendix/Figure_A1_pca_sigma_sensitivity.png,byte-identical target,BYTE-IDENTICAL sha256 match,byte,EXECUTED-PASS,084d0b7e5bb5108ce166071f78aa8ea6b3e129df23e775c4a5a6f54522848627
Appendix,"Figure B DBSCAN parameter-selection walkthrough (Event 10, canonical)",Fig B,data/auxiliary/method_a/daily_full_parameter_grid_method_A.csv (shipped) + deposit catalogs/,eps grid 1.0..4.0 x min_samples 4..12,scripts/figures/figA2/make_new_figA2_event10_candidate.py (canonical; the Event-7 heatmap script is a superseded internal diagnostic),reproduced/appendix_a2/New_Figure_A2_Event10_candidate.png,deployed manuscript embed (916fed8e...),BYTE-IDENTICAL to the deployed manuscript Fig. B embed,byte,EXECUTED-PASS,916fed8eafbd535028fd1c1f04f611db58c9b78f9a1d7ee0cdc95567ed1b3fd5
Appendix,Figure C DBSCAN parameter distributions,Fig C,deposit catalogs/ master,runtime asserts 3/4/20/24 and 3/4/75/313,scripts/figures/figA3/make_figA3_dbscan_params.py,reproduced/appendix/Figure_A3_dbscan_parameters.png,byte-identical target,BYTE-IDENTICAL sha256 match,byte,EXECUTED-PASS,f2c064d7577ea9f33c3f3e8396cf61f5e8ce223f49cbbb0e35775a63f1f36f31
Supplement,Figure S.1 panels a-b component (Type-3 event-25 snapshots),Fig S.1 (component),deposit catalogs/ master + final_labels_event_global_max.csv,event 25; 2016-06-07/08,scripts/figures/figS1/make_figS1_type3_event25.py,reproduced/supplement/Figure_S1_type3_event25.png,byte-identical target,BYTE-IDENTICAL sha256 match,byte,EXECUTED-PASS,a438b12ab04f1debe0bb8b4788bc6d713237c0cafbb406e21ba3995f9d00fd99
Appendix D,Figure D occurrence-level five-fold validation composite (APPENDIX D; V3 LABEL CORRECTION; DEPLOYED 2026-07-30),Fig D,deposit lgcp/ + validation_kfold/,n/a,scripts/figures/figS2/make_new_figS2_candidate.py,reproduced/supplement/New_Figure_S2_candidate.png,deployed main-manuscript embed (b7c48232...),"BYTE-IDENTICAL to the deployed main-manuscript embed. On 2026-07-30 (G2 pass, Fawaz-approved) the composite was REARRANGED to 2 columns x 3 rows - panel (a) the concentration-zone distance boxplot, panels (b)-(f) held-out Folds 1-5, shared vertical colorbar spanning all three rows, centred marker legend - and RELOCATED from the supplementary document into the main manuscript as Fig. D in Appendix D. Artwork 6050x6019 px. Layout and labelling only: dataset, seed 20260704, fold membership (152 held-out centroids per fold), refit surfaces, ranks, colours, ticks, markers and the zone means 438/286/181/81 km unchanged and asserted at run time. Superseded supplementary embed: d3de47b80b61589f54e615d9757023457f6bc9aac7e604df380d73dc0474d5e8",byte,EXECUTED-PASS,reproduced b7c48232d9f48c9dbf29291470562699590f7ed4f5be50ecb7087f37684574ae; deployed main-manuscript embed b7c48232d9f48c9dbf29291470562699590f7ed4f5be50ecb7087f37684574ae
Internal component,Fig. D panel (a) component (superseded standalone concentration-zone distance figure; legacy figS3/figS03 internal naming),component of Fig D (NOT a manuscript figure; never deployed - no manuscript embed exists),deposit validation_kfold/per_centroid_risk_zone_validation.csv,zones 10/20/30/50%,scripts/figures/figS3/make_figS3_risk_zone_distance.py,reproduced/supplement/Figure_S3_risk_zone_distance.png,V3 label-corrected output (NOT byte-identical to the archived historical asset),INTERNAL COMPONENT ONLY (content = panel (a) of the published Fig. D): the V3 output differs from the archived historical asset by the corrected axis label ('top-concentration zone'); the companion stats CSV is byte-identical to the deposit copy,n/a (label-corrected internal component),EXECUTED-PASS,reproduced cc1f0e3e9cc6435b2541435ef4cd10f6249dfad0e935be773cf956d93892ae1b; archived historical asset 1696b0ab2f4d64718ab8c2b87a3407c386a9f03654cd85cddb7679ed3729f9ea
Internal component,Fig. D panels (b)-(f) component (superseded standalone held-out fold maps; legacy figS4/figS04 internal naming; V4 COLORBAR CORRECTION),component of Fig D (NOT a manuscript figure; never deployed - no manuscript embed exists),deposit lgcp/ + validation_kfold/,seed 20260704,scripts/figures/figS4/make_figS4_kfold_maps.py,reproduced/supplement/Figure_S4_kfold_heldout_maps.png,V4 colorbar-corrected output (NOT byte-identical to the archived historical asset),"INTERNAL COMPONENT ONLY (content = panels (b)-(f) of the published Fig. D): V4 corrects the colorbar label to 'Relative centroid-concentration rank, R(s)' because the mapped values are per-fold percentile ranks (0-1) not a physical concentration; plotted data unchanged; fold-metrics CSV byte-identical to the deposit copy",n/a (label-corrected internal component),EXECUTED-PASS,reproduced (V4) 1f0742faa19e06a19756bd896a8bba4b373f2dceb4ab75adefed794f9b41a58d; archived historical asset f263dd4a0b9b196334dbba0debe1c7da6b6893e7fd415451c38393c5981d97db
Sec 3,Table 1 Compound Heatwave Typologies,Table 1,deposit catalogs/ master,n/a,scripts/pipeline/make_global_max_tables.py,reproduced/tables/Table_Compound_Heatwave_Typologies_global_max.csv,Table_01.csv values,VALUE-IDENTICAL (all values match; the published manuscript table reorders one column (Longest Compound Event to col 4); reproduced file BYTE-IDENTICAL to the canonical frozen output; the redundant Table_01.csv duplicate was removed from the deposit in v1.0.0),exact values,EXECUTED-PASS,778e08ab8a5796aee98b80e0daf6cb064c9b6e64c07f34944918d95672adef33
Sec 3,power-law statistics tables (pooled + by type),supporting Fig 11 / text,deposit catalogs/ master,seed 20260617 nboot 5000,scripts/pipeline/regenerate_statistics_global_max.py --nboot 5000,reproduced/power_law/statistics/,deposit power_law/statistics/,BYTE-IDENTICAL directory (diff -r clean; bootstrap CSVs included; nboot NOT reduced),byte,EXECUTED-PASS,
Supplement,Figure S.1 published composite (Type 3 example panels a-b + station panels c-d),Fig S.1,reproduced Figure_S1_type3_event25.png + assets/frozen_figures/figS1_station_donor/,n/a,scripts/figures/figS1/make_new_figS1_candidate.py (shipped + wired in V2),reproduced/supplement/New_Figure_S1_candidate.png,deployed supplement embed (a5632323...),BYTE-IDENTICAL to the deployed supplement embed (V2 run),byte,EXECUTED-PASS,a5632323514961c61a1b367c1cc2c950c93e1beac48cf7f134826e1367664bdc
Sec 2 (pipeline),provider-level ERA5 reconstruction (download -> detection -> selection -> event-global-max rebuild),upstream of all,raw ERA5 (not redistributed),documented GUIDE only: scorch reconstruction-guide / docs/PROVIDER_RECONSTRUCTION_GUIDE.md (no executable route; the executable fast route begins with the deposited processed field),scripts/download/* + scripts/pipeline/build_master_dataset.py + build_event_global_max_master.py + reclassify_event_types_global_max.py,n/a,deposit contains the verified chain outputs,scripts present + py_compile clean; NOT executed end to end for this release (multi-hour provider download with a possible network transfer of hourly source data of order 100 GB; local working storage exceeding 10 GB; Tier-B inputs not redistributed); the guide is documentation that is structurally validated only,n/a,STRUCTURALLY-VALIDATED (guide; not executed),
Sec 4 (LGCP),R/spatstat LGCP fit (kppm mincon),upstream of Fig 12,deposit lgcp/ inputs (complete),R 4.5.1 spatstat.model,scripts/lgcp/build_inputs.py + spatial_risk_lgcp_model_diagnostics.R,n/a,deposit lgcp tables,build_inputs.py compiles (needs Tier-B ERA5 long CSV); the R FIT WAS EXECUTED against the deposit lgcp/ inputs: refit parameter table and predicted-intensity surface (grid_predicted_intensity_all_variants.csv) BYTE-IDENTICAL to the deposit,n/a,EXECUTED-PASS (fit) / STRUCTURALLY-VALIDATED (build_inputs needs Tier-B CSV),
Sec 2-3 (pipeline),end-to-end processed-field -> catalog reconstruction (deposit-only),all catalog-derived items,deposit gridded/scorch_processed_daily_tmax_field_v1.0.0.nc + catalogs/ + selected_days/,configs/reproduction_fast.yaml route=fast (builtin stages),scorch reproduce --route fast (field-products; select-days-events; daily-dbscan-params; event-global-params; rebuild-catalog; classify-events),stage logs,1800 cells; 15738 days; Theta 371; 395 days; 51 events; 760 structures; types 3/4/20/24,ALL STAGES PASS: thresholds max diff 3.81e-06 degC; coverage counts exact; Theta=371; 395 days; 51 events; 395/395 daily Method-A parameters exact; 51/51 event-global parameters; 760 structures with identical cluster partitions; ellipse geometry max rel diff 5.69e-15; typology 51/51,exact / 1e-6 rel (geometry),EXECUTED-PASS,
